CustomerID,Age,Tenure_Months,ContractType,InternetService,TechSupport,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportCalls,Churn
CUST2577,42.0,33,Month-to-month,Fiber optic,Yes,Mailed check,72.53,2390.74,2,Yes
CUST1140,54.0,37,Month-to-month,No,Yes,Bank transfer,18.0,640.47,2,No
CUST1110,28.0,36,One year,Fiber optic,Yes,Mailed check,37.03,1334.73,3,No
CUST1259,33.0,14,One year,DSL,No,Credit card,32.17,497.0,2,No
CUST2391,27.0,18,One year,Fiber optic,Yes,Credit card,42.77,801.54,3,No
CUST2744,46.0,37,One year,Fiber optic,No,Bank transfer,39.16,1413.0,2,No
CUST1514,45.0,24,One year,Fiber optic,No,Electronic check,62.3,1406.49,1,Yes
CUST2517,23.0,7,Month-to-month,Fiber optic,No,Credit card,96.69,659.93,2,Yes
CUST2386,46.0,12,Two year,Fiber optic,No,Credit card,101.56,1218.25,3,Yes
CUST2058,20.0,62,One year,No,No,Electronic check,39.64,2488.73,1,No
CUST2921,52.0,71,Month-to-month,Fiber optic,No,Mailed check,50.64,3643.86,1,No
CUST2736,30.0,30,One year,DSL,Yes,Electronic check,46.61,1328.18,1,No
CUST1471,64.0,25,Month-to-month,Fiber optic,,Electronic check,73.95,1842.37,2,Yes
CUST2273,21.0,11,Two year,Fiber optic,Yes,Credit card,91.7,1086.26,1,Yes
CUST2926,28.0,31,Month-to-month,No,Yes,Mailed check,82.55,2562.56,3,Yes
CUST2544,66.0,13,Two year,DSL,No,Mailed check,76.44,1093.4,1,No
CUST2089,21.0,25,One year,Fiber optic,No,Mailed check,66.07,1668.29,3,No
CUST2354,49.0,41,Month-to-month,No,No,Electronic check,47.68,1950.55,4,Yes
CUST1358,44.0,18,Month-to-month,DSL,No,Mailed check,117.99,2220.58,0,Yes
CUST2327,42.0,37,One year,No,Yes,Bank transfer,97.01,3635.47,1,No
CUST1196,30.0,11,Month-to-month,DSL,No,Bank transfer,71.95,770.62,3,Yes
CUST2682,51.0,5,One year,Fiber optic,No,Credit card,107.66,502.31,2,Yes
CUST2691,63.0,15,Month-to-month,Fiber optic,Yes,Mailed check,85.63,1307.91,1,No
CUST1610,65.0,9,Two year,Fiber optic,No,Bank transfer,48.8,414.1,0,Yes
CUST1361,38.0,17,One year,DSL,No,Mailed check,43.91,773.75,1,Yes
CUST1002,46.0,52,Two year,DSL,Yes,Mailed check,57.08,2936.55,4,No
CUST1666,22.0,11,Month-to-month,Fiber optic,No,Credit card,104.52,1200.14,0,Yes
CUST1527,38.0,19,Month-to-month,DSL,No,Electronic check,46.86,901.48,2,No
CUST2117,57.0,67,One year,DSL,No,Bank transfer,76.5,5083.84,0,No
CUST1702,42.0,21,Month-to-month,No,Yes,Electronic check,66.91,1378.79,3,Yes
CUST1602,53.0,16,Month-to-month,DSL,No,Mailed check,92.29,1437.8,2,Yes
CUST1658,,48,Month-to-month,DSL,No,Bank transfer,83.0,3958.89,2,No
CUST2917,64.0,15,Month-to-month,No,No,Mailed check,105.93,1597.09,1,No
CUST2824,57.0,44,Month-to-month,DSL,No,Mailed check,76.48,3279.9,3,Yes
CUST1762,27.0,36,Month-to-month,Fiber optic,No,Bank transfer,43.26,1506.13,2,Yes
CUST1374,61.0,34,One year,DSL,Yes,Credit card,74.76,2607.73,2,No
CUST2959,20.0,46,Month-to-month,No,No,Bank transfer,31.83,1458.0,1,Yes
CUST1672,35.0,31,Two year,No,No,Bank transfer,47.35,1473.64,0,No
CUST2037,54.0,56,One year,DSL,No,Bank transfer,77.65,4395.17,1,No
CUST1945,39.0,65,Month-to-month,No,No,Credit card,81.56,,1,No
CUST1544,22.0,30,Two year,DSL,No,Credit card,113.96,3441.21,2,Yes
CUST2696,61.0,7,Month-to-month,DSL,No,Mailed check,25.84,184.76,2,Yes
CUST2669,46.0,59,Month-to-month,DSL,No,Mailed check,18.0,1000.25,3,No
CUST1606,41.0,1,One year,Fiber optic,No,Mailed check,94.38,74.91,1,No
CUST1501,56.0,24,One year,No,Yes,Bank transfer,50.09,1133.13,1,No
CUST2495,40.0,2,Two year,Fiber optic,Yes,Credit card,71.52,136.37,0,No
CUST2817,67.0,31,Month-to-month,No,No,Mailed check,99.57,3065.79,0,Yes
CUST2244,60.0,67,Month-to-month,DSL,Yes,Bank transfer,95.86,6386.08,1,No
CUST1241,23.0,65,One year,Fiber optic,No,Electronic check,85.47,5493.42,0,No
CUST1876,31.0,19,Month-to-month,Fiber optic,No,Bank transfer,39.35,753.65,2,Yes
CUST2374,64.0,2,Month-to-month,No,No,Bank transfer,108.49,220.6,5,Yes
CUST1694,25.0,17,Month-to-month,DSL,No,Bank transfer,113.9,1925.51,3,Yes
CUST1284,48.0,11,Month-to-month,Fiber optic,No,Credit card,31.24,432.61,1,Yes
CUST1412,19.0,26,Month-to-month,DSL,No,Mailed check,72.22,1869.07,3,Yes
CUST2304,26.0,32,Two year,Fiber optic,No,Bank transfer,72.8,2391.18,3,Yes
CUST2411,68.0,45,One year,DSL,No,Electronic check,92.72,4020.08,0,No
CUST2981,29.0,64,One year,Fiber optic,No,Credit card,31.79,2023.98,6,No
CUST2841,60.0,68,Two year,DSL,Yes,Mailed check,58.96,4001.05,2,No
CUST2442,53.0,58,One year,No,Yes,Electronic check,75.83,4364.48,0,No
CUST1339,65.0,44,One year,Fiber optic,Yes,Bank transfer,106.64,4710.66,3,No
CUST1363,50.0,35,Month-to-month,DSL,No,Mailed check,92.37,3197.91,1,Yes
CUST1903,21.0,60,Month-to-month,DSL,Yes,Credit card,79.78,4810.43,4,Yes
CUST2011,43.0,19,Two year,Fiber optic,No,Electronic check,50.85,1090.62,1,Yes
CUST2678,61.0,58,One year,Fiber optic,No,Mailed check,81.61,,2,No
CUST1735,61.0,63,Month-to-month,DSL,No,Credit card,71.43,4490.53,1,Yes
CUST1386,63.0,66,One year,Fiber optic,No,Mailed check,54.03,3508.04,3,No
CUST2508,42.0,59,Month-to-month,No,No,Electronic check,92.28,5509.75,4,Yes
CUST2149,58.0,45,Month-to-month,Fiber optic,No,Mailed check,89.14,3884.15,3,No
CUST1837,27.0,3,One year,DSL,Yes,Bank transfer,36.01,73.38,1,No
CUST2663,40.0,11,Month-to-month,No,Yes,Mailed check,63.37,679.98,0,No
CUST1638,29.0,57,One year,No,Yes,Electronic check,42.77,2411.59,0,No
CUST2170,31.0,65,Month-to-month,DSL,No,Credit card,78.06,5067.68,2,No
CUST2637,25.0,20,Month-to-month,DSL,No,Mailed check,56.33,1253.75,4,Yes
CUST2445,19.0,46,Two year,DSL,Yes,Credit card,27.67,1277.29,1,Yes
CUST2279,45.0,48,One year,DSL,No,Credit card,74.37,3572.57,2,Yes
CUST1299,54.0,24,Month-to-month,Fiber optic,No,Electronic check,117.81,2838.94,2,Yes
CUST1976,,1,Month-to-month,DSL,No,Bank transfer,70.04,53.44,2,Yes
CUST2858,60.0,14,Two year,No,No,Mailed check,108.93,1569.17,3,Yes
CUST1108,25.0,23,One year,Fiber optic,Yes,Bank transfer,73.53,1644.05,1,Yes
CUST2471,47.0,66,One year,Fiber optic,No,Mailed check,114.19,7520.74,1,No
CUST2582,54.0,12,Month-to-month,DSL,Yes,Credit card,56.69,675.51,2,Yes
CUST1517,66.0,20,Month-to-month,Fiber optic,No,Bank transfer,69.27,1302.83,2,Yes
CUST2016,37.0,8,Month-to-month,DSL,,Credit card,73.55,571.38,1,Yes
CUST2015,30.0,60,Month-to-month,No,No,Electronic check,85.09,5046.14,3,Yes
CUST2183,31.0,7,One year,Fiber optic,Yes,Mailed check,72.67,451.08,1,No
CUST2229,25.0,60,Two year,Fiber optic,Yes,Electronic check,61.1,3646.99,3,No
CUST2972,20.0,13,One year,DSL,No,Bank transfer,80.2,1040.05,0,No
CUST2531,19.0,56,One year,No,Yes,Bank transfer,50.5,2780.24,2,No
CUST2605,34.0,24,One year,Fiber optic,Yes,Bank transfer,62.57,1442.13,1,Yes
CUST2465,69.0,18,One year,No,No,Bank transfer,70.77,1193.15,2,Yes
CUST2497,28.0,59,One year,Fiber optic,No,Bank transfer,67.29,3993.72,0,No
CUST2330,23.0,7,Month-to-month,Fiber optic,No,Mailed check,91.37,656.34,2,Yes
CUST1330,52.0,60,Month-to-month,Fiber optic,Yes,Electronic check,53.54,3161.47,1,Yes
CUST2431,65.0,3,Month-to-month,Fiber optic,No,Bank transfer,56.75,213.74,3,Yes
CUST1229,19.0,71,Month-to-month,DSL,Yes,Credit card,78.07,5571.12,3,No
CUST1172,30.0,63,Two year,DSL,No,Credit card,44.3,2849.49,2,No
CUST1450,39.0,4,Month-to-month,Fiber optic,No,Bank transfer,120.51,510.13,3,Yes
CUST2524,27.0,29,Month-to-month,DSL,No,Credit card,72.56,2235.77,3,Yes
CUST1127,50.0,2,Month-to-month,DSL,No,Electronic check,112.13,181.56,2,Yes
CUST2064,41.0,37,Month-to-month,Fiber optic,No,Bank transfer,69.23,2500.84,2,Yes
CUST1037,68.0,31,Month-to-month,Fiber optic,No,Bank transfer,65.48,2136.26,2,Yes
CUST1426,42.0,34,Month-to-month,No,No,Bank transfer,32.96,1082.71,0,Yes
CUST1204,54.0,55,Month-to-month,Fiber optic,No,Credit card,79.43,4365.25,3,Yes
CUST2249,27.0,39,Month-to-month,DSL,Yes,Bank transfer,104.6,4141.06,3,Yes
CUST1185,61.0,36,Two year,Fiber optic,Yes,Credit card,96.66,3447.19,4,Yes
CUST2268,60.0,2,Month-to-month,Fiber optic,No,Mailed check,84.65,10.56,3,Yes
CUST1058,,8,One year,Fiber optic,Yes,Bank transfer,30.77,244.85,3,No
CUST2506,34.0,33,Month-to-month,No,No,Mailed check,31.53,1058.47,3,Yes
CUST1862,67.0,53,One year,No,Yes,Credit card,97.57,5151.9,2,No
CUST2876,58.0,23,One year,DSL,No,Credit card,94.69,2207.38,0,No
